CRICOS Provider Code,Institution Name,CRICOS Course Code,Course Name,VET National Code,Dual Qualification,Field of Education 1 Broad Field,Field of Education 1 Narrow Field,Field of Education 1 Detailed Field,Field of Education 2 Broad Field,Field of Education 2 Narrow Field,Field of Education 2 Detailed Field,Course Level,Foundation Studies,Work Component,Work Component Hours/Week,Work Component Weeks,Work Component Total Hours,Course Language,Duration (Weeks),Tuition Fee,Non Tuition Fee,Estimated Total Course Cost,Expired
00111D,Swinburne University of Technology,055216G,Master of Science in Biotechnology,,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019905 - Food Science and Biotechnology,,,,Masters Degree (Coursework),No,No,0.00,0,0,English,104,"$97,800.00",$0.00,"$97,800.00",No
00111D,Swinburne University of Technology,060728G,Bachelor of Science,,No,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",,,,Bachelor Degree,No,No,,,,English,156,"$112,000.00",$0.00,"$112,000.00",No
00111D,Swinburne University of Technology,061687C,Graduate Certificate of Engineering (Civil),,No,03 - Engineering and Related Technologies,0309 - Civil Engineering,"030900 - Civil Engineering, n.f.d.",,,,Graduate Certificate,No,No,,,,English,26,$0.00,$0.00,"$14,000.00",No
00111D,Swinburne University of Technology,061689A,Master of Engineering (Civil),,No,03 - Engineering and Related Technologies,0309 - Civil Engineering,030903 - Structural Engineering,,,,Masters Degree (Coursework),No,No,,,,English,78,$0.00,$0.00,"$42,000.00",No
00111D,Swinburne University of Technology,061755G,Master of Information Technology (Professional Computing),,No,02 - Information Technology,0201 - Computer Science,020105 - Computational Theory,,,,Masters Degree (Coursework),No,No,,,,English,104,"$68,865.00",$0.00,"$68,865.00",No
00111D,Swinburne University of Technology,063365E,Bachelor of Aviation,,No,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",,,,Bachelor Degree,No,No,,,,English,156,$0.00,$0.00,"$90,000.00",No
00111D,Swinburne University of Technology,063366D,Bachelor of Business,,No,08 - Management and Commerce,0803 - Business and Management,"080399 - Business and Management, n.e.c.",,,,Bachelor Degree,No,No,,,,English,156,"$100,000.00",$0.00,"$100,000.00",No
00111D,Swinburne University of Technology,063370G,Bachelor of Aviation (Management),,No,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",,,,Bachelor Degree,No,No,,,,English,156,$0.00,$0.00,"$90,000.00",No
00111D,Swinburne University of Technology,064187K,Associate Degree of Aviation,,No,03 - Engineering and Related Technologies,0315 - Aerospace Engineering and Technology,"031599 - Aerospace Engineering and Technology, n.e.c.",,,,Associate Degree,No,No,,,,English,78,$0.00,$0.00,"$44,000.00",No
00111D,Swinburne University of Technology,064191C,Doctor of Philosophy,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Doctoral Degree,No,Yes,,,,English,208,"$188,400.00",$0.00,"$188,400.00",No
00111D,Swinburne University of Technology,066770A,Bachelor of Engineering (Civil Engineering)/Bachelor of Commerce,,No,03 - Engineering and Related Technologies,0309 - Civil Engineering,"030900 - Civil Engineering, n.f.d.",,,,Bachelor Degree,No,Yes,,-1,,English,260,$0.00,$0.00,"$153,000.00",No
00111D,Swinburne University of Technology,067096M,Bachelor of Information and Communication Technology,,No,02 - Information Technology,0203 - Information Systems,020307 - Decision Support Systems,,,,Bachelor Degree,No,No,,,,English,156,$0.00,$0.00,"$73,000.00",No
00111D,Swinburne University of Technology,067212A,Master of Practising Accounting,,No,08 - Management and Commerce,0801 - Accounting,080101 - Accounting,,,,Masters Degree (Coursework),No,No,,,,English,104,"$73,000.00",$0.00,"$73,000.00",No
00111D,Swinburne University of Technology,067213M,Graduate Diploma of Professional Accounting,,No,08 - Management and Commerce,0801 - Accounting,080101 - Accounting,,,,Graduate Diploma,No,No,,,,English,52,"$50,360.00",$0.00,"$50,360.00",No
00111D,Swinburne University of Technology,067406B,Master of Professional Accounting (Graduate Entry),,No,08 - Management and Commerce,0801 - Accounting,080101 - Accounting,,,,Masters Degree (Coursework),No,No,,,,English,78,"$66,510.00",$0.00,"$66,510.00",No
00111D,Swinburne University of Technology,067407A,Graduate Certificate of Professional Accounting,,No,08 - Management and Commerce,0801 - Accounting,080101 - Accounting,,,,Graduate Certificate,No,No,,,,English,26,"$25,180.00",$0.00,"$25,180.00",No
00111D,Swinburne University of Technology,069127D,Bachelor of Engineering (Civil Engineering),,No,03 - Engineering and Related Technologies,0309 - Civil Engineering,"030999 - Civil Engineering, n.e.c.",,,,Bachelor Degree,No,No,,,,English,208,"$38,000.00",$0.00,"$38,000.00",No
00111D,Swinburne University of Technology,069918F,Master of Business Management,,No,08 - Management and Commerce,0803 - Business and Management,080307 - Organisation Management,,,,Masters Degree (Coursework),No,No,,,,English,78,$0.00,$0.00,"$18,000.00",No
00111D,Swinburne University of Technology,069920A,Master of Commerce (By Research),,No,08 - Management and Commerce,0803 - Business and Management,080303 - Human Resource Management,,,,Masters Degree (Research),No,No,,,,English,104,$0.00,$0.00,"$50,000.00",No
00111D,Swinburne University of Technology,070216D,Graduate Certificate of Business Management,,No,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,,,,Graduate Certificate,No,No,,,,English,26,"$19,000.00",$0.00,"$19,000.00",No
00111D,Swinburne University of Technology,070386G,Graduate Diploma of Business Management,,No,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,,,,Graduate Diploma,No,No,,,,English,52,$0.00,$0.00,"$24,000.00",No
00111D,Swinburne University of Technology,073081A,English for Academic Purposes (ELICOS),,No,09 - Society and Culture,0915 - Language and Literature,091501 - ELICOS,,,,Non AQF Award,No,No,,,,English,50,"$33,000.00",$0.00,"$33,000.00",No
00111D,Swinburne University of Technology,073082M,Master of Engineering Science (Network Systems and Telecommunications),,No,02 - Information Technology,0201 - Computer Science,020113 - Networks and Communications,,,,Masters Degree (Coursework),No,No,,,,English,104,"$70,000.00",$0.00,"$70,000.00",No
00111D,Swinburne University of Technology,073085G,Master of Engineering Science (Civil),,No,03 - Engineering and Related Technologies,0309 - Civil Engineering,030903 - Structural Engineering,,,,Masters Degree (Coursework),No,No,,,,English,104,$0.00,$0.00,"$57,000.00",No
00111D,Swinburne University of Technology,073086G,Master of Engineering Science (Advanced Manufacturing Technology),,No,03 - Engineering and Related Technologies,0301 - Manufacturing Engineering and Technology,030101 - Manufacturing Engineering,,,,Masters Degree (Coursework),No,No,,,,English,104,$0.00,$0.00,"$57,000.00",No
00111D,Swinburne University of Technology,073087F,Bachelor of Aviation (Honours),,No,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",,,,Bachelor Honours Degree,No,No,,,,English,52,"$39,000.00",$0.00,"$39,000.00",No
00111D,Swinburne University of Technology,073629C,Bachelor of Science (Honours),,No,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",,,,Bachelor Honours Degree,No,No,,,,English,52,"$46,300.00",$0.00,"$46,300.00",No
00111D,Swinburne University of Technology,073784C,Bachelor of Business Administration,,No,08 - Management and Commerce,0803 - Business and Management,"080300 - Business and Management, n.f.d.",,,,Bachelor Degree,No,Yes,12.50,8,100,English,156,"$100,000.00",$0.00,"$100,000.00",No
00111D,Swinburne University of Technology,073785B,Bachelor of Information and Communication Technology (Network Design and Security),,No,02 - Information Technology,0203 - Information Systems,020307 - Decision Support Systems,,,,Bachelor Degree,No,No,,,,English,156,$0.00,$0.00,"$73,000.00",No
00111D,Swinburne University of Technology,074405M,Graduate Certificate of Construction Management,,No,03 - Engineering and Related Technologies,0309 - Civil Engineering,030901 - Construction Engineering,,,,Graduate Certificate,No,No,,,,English,26,"$24,660.00",$0.00,"$24,660.00",No
00111D,Swinburne University of Technology,074406K,Master of Construction Management,,No,03 - Engineering and Related Technologies,0309 - Civil Engineering,030901 - Construction Engineering,,,,Masters Degree (Coursework),No,No,,,,English,78,"$60,000.00",$0.00,"$60,000.00",No
00111D,Swinburne University of Technology,074408G,Graduate Diploma of Construction Management,,No,03 - Engineering and Related Technologies,0309 - Civil Engineering,030901 - Construction Engineering,,,,Graduate Diploma,No,No,,,,English,52,"$40,000.00",$0.00,"$40,000.00",No
00111D,Swinburne University of Technology,075389J,Graduate Certificate of Marketing,,No,08 - Management and Commerce,0805 - Sales and Marketing,080505 - Marketing,,,,Graduate Certificate,No,No,,,,English,26,"$25,180.00",$0.00,"$25,180.00",No
00111D,Swinburne University of Technology,075390E,Graduate Diploma of Marketing,,No,08 - Management and Commerce,0805 - Sales and Marketing,080505 - Marketing,,,,Graduate Diploma,No,No,,,,English,52,"$38,000.00",$0.00,"$38,000.00",No
00111D,Swinburne University of Technology,075393B,Master of Marketing (Global Leadership Program),,No,08 - Management and Commerce,0805 - Sales and Marketing,080505 - Marketing,,,,Masters Degree (Coursework),No,No,,,,English,104,"$80,000.00",$0.00,"$80,000.00",No
00111D,Swinburne University of Technology,075454E,Master of Business Administration / Master of Strategic Foresight,,Yes,08 - Management and Commerce,0803 - Business and Management,080307 - Organisation Management,08 - Management and Commerce,0803 - Business and Management,080307 - Organisation Management,Masters Degree (Coursework),No,No,,,,English,104,$0.00,$0.00,"$50,000.00",No
00111D,Swinburne University of Technology,075576F,Master of Social Investment and Philanthropy,,No,08 - Management and Commerce,0803 - Business and Management,"080300 - Business and Management, n.f.d.",,,,Masters Degree (Coursework),No,No,,,,English,78,$0.00,$0.00,"$36,000.00",No
00111D,Swinburne University of Technology,075583G,Graduate Certificate of Business Administration,,No,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,,,,Graduate Certificate,No,No,,,,English,26,"$26,000.00",$0.00,"$26,000.00",No
00111D,Swinburne University of Technology,075585E,Master of Business Administration,,No,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,,,,Masters Degree (Coursework),No,No,,,,English,78,"$59,000.00",$0.00,"$59,000.00",No
00111D,Swinburne University of Technology,077652E,Master of Business Administration/Master of Entrepreneurship and Innovation,,No,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,,,,Masters Degree (Coursework),No,No,,,,English,104,$0.00,$0.00,"$50,000.00",No
00111D,Swinburne University of Technology,077669G,Bachelor of Health Science,,No,06 - Health,0613 - Public Health,"061399 - Public Health, n.e.c.",,,,Bachelor Degree,No,No,,,,English,156,"$129,000.00",$0.00,"$129,000.00",No
00111D,Swinburne University of Technology,077671B,Graduate Certificate in Engineering (Electrical and Electronic),,No,03 - Engineering and Related Technologies,0313 - Electrical and Electronic Engineering and Technology,031303 - Electronic Engineering,,,,Graduate Certificate,No,No,,,,English,26,$0.00,$0.00,"$14,000.00",No
00111D,Swinburne University of Technology,077673M,Master of Engineering (Electrical and Electronics),,No,03 - Engineering and Related Technologies,0313 - Electrical and Electronic Engineering and Technology,031303 - Electronic Engineering,,,,Masters Degree (Coursework),No,No,,,,English,78,$0.00,$0.00,"$42,000.00",No
00111D,Swinburne University of Technology,077674K,Master of Engineering Science  (Electrical and Electronics),,No,03 - Engineering and Related Technologies,0313 - Electrical and Electronic Engineering and Technology,031303 - Electronic Engineering,,,,Masters Degree (Coursework),No,No,,,,English,104,$0.00,$0.00,"$57,000.00",No
00111D,Swinburne University of Technology,078080F,Bachelor of Circus Arts,,No,10 - Creative Arts,1001 - Performing Arts ,"100199 - Performing Arts, n.e.c.",,,,Bachelor Degree,No,No,,,,English,156,"$97,200.00",$0.00,"$97,200.00",No
00111D,Swinburne University of Technology,078913C,Bachelor of Business Information Systems/Bachelor of Business,,No,02 - Information Technology,0203 - Information Systems,"020399 - Information Systems, n.e.c.",,,,Bachelor Degree,No,No,,,,English,208,"$147,600.00",$0.00,"$147,600.00",No
00111D,Swinburne University of Technology,078917K,Bachelor of Computer Science,,No,02 - Information Technology,0201 - Computer Science,"020199 - Computer Science, n.e.c.",,,,Bachelor Degree,No,No,,,,English,156,"$100,000.00",$0.00,"$100,000.00",No
00111D,Swinburne University of Technology,079129G,Bachelor of Design (Communication Design),,No,10 - Creative Arts,1099 - Other Creative Arts,"109999 - Creative Arts, n.e.c.",,,,Bachelor Degree,No,No,,,,English,156,$0.00,$0.00,"$78,000.00",No
00111D,Swinburne University of Technology,079130D,Bachelor of Design (Communication Design) (Honours),,No,10 - Creative Arts,1007 - Communication and Media Studies,"100799 - Communication and Media Studies, n.e.c.",,,,Bachelor Honours Degree,No,No,,,,English,208,"$181,840.00",$0.00,"$181,840.00",No
00111D,Swinburne University of Technology,079135K,Bachelor of Aviation/Bachelor of Business,,No,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",,,,Bachelor Degree,No,No,,,,English,208,$0.00,$0.00,"$124,000.00",No
00111D,Swinburne University of Technology,079150M,Bachelor of Design (Honours),,No,10 - Creative Arts,1099 - Other Creative Arts,"109999 - Creative Arts, n.e.c.",,,,Bachelor Honours Degree,No,No,,,,English,52,"$39,000.00",$0.00,"$39,000.00",No
00111D,Swinburne University of Technology,080205B,Bachelor of Engineering (Civil)(Honours),,No,03 - Engineering and Related Technologies,0309 - Civil Engineering,"030999 - Civil Engineering, n.e.c.",,,,Bachelor Honours Degree,No,Yes,,12,,English,208,"$148,480.00",$0.00,"$148,480.00",No
00111D,Swinburne University of Technology,080206A,Bachelor of Engineering (Electronics and Computer Systems) (Honours),,No,03 - Engineering and Related Technologies,0313 - Electrical and Electronic Engineering and Technology,031305 - Computer Engineering,,,,Bachelor Honours Degree,No,Yes,,12,,English,208,"$148,480.00",$0.00,"$148,480.00",No
00111D,Swinburne University of Technology,080207M,Bachelor of Engineering (Electrical and Electronic) (Honours),,No,03 - Engineering and Related Technologies,0313 - Electrical and Electronic Engineering and Technology,031303 - Electronic Engineering,,,,Bachelor Honours Degree,No,Yes,,12,,English,208,"$148,480.00",$0.00,"$148,480.00",No
00111D,Swinburne University of Technology,080208K,Bachelor of Engineering (Mechanical) (Honours),,No,03 - Engineering and Related Technologies,0307 - Mechanical and Industrial Engineering and Technology,030701 - Mechanical Engineering,,,,Bachelor Honours Degree,No,Yes,,12,,English,208,"$148,480.00",$0.00,"$148,480.00",No
00111D,Swinburne University of Technology,080210E,Bachelor of Engineering (Robotics and Mechatronics) (Honours),,No,03 - Engineering and Related Technologies,0301 - Manufacturing Engineering and Technology,030101 - Manufacturing Engineering,,,,Bachelor Honours Degree,No,Yes,,12,,English,208,"$148,480.00",$0.00,"$148,480.00",No
00111D,Swinburne University of Technology,080212C,Bachelor of Engineering (Telecommunications and Network Engineering) (Honours),,No,03 - Engineering and Related Technologies,0313 - Electrical and Electronic Engineering and Technology,031307 - Communications Technologies,,,,Bachelor Honours Degree,No,Yes,,12,,English,208,"$148,480.00",$0.00,"$148,480.00",No
00111D,Swinburne University of Technology,080213B,Bachelor of Engineering (Software Engineering) (Honours),,No,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",,,,Bachelor Honours Degree,No,Yes,,12,,English,208,"$148,480.00",$0.00,"$148,480.00",No
00111D,Swinburne University of Technology,080214A,Bachelor of Arts / Bachelor of Science,,Yes,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",Bachelor Degree,No,No,,,,English,208,"$185,600.00",$0.00,"$185,600.00",No
00111D,Swinburne University of Technology,080215M,Bachelor of Arts / Bachelor of Business,,Yes,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",08 - Management and Commerce,0803 - Business and Management,"080399 - Business and Management, n.e.c.",Bachelor Degree,No,No,,,,English,208,"$168,000.00",$0.00,"$168,000.00",No
00111D,Swinburne University of Technology,081124F,Bachelor of Engineering (Electronics and Computer Systems) (Honours)/ Bachelor of Business,,Yes,03 - Engineering and Related Technologies,0313 - Electrical and Electronic Engineering and Technology,"031399 - Electrical and Electronic Engineering and Technology, n.e.c.",08 - Management and Commerce,0803 - Business and Management,"080399 - Business and Management, n.e.c.",Bachelor Honours Degree,No,No,,,,English,260,"$152,700.00",$0.00,"$152,700.00",No
00111D,Swinburne University of Technology,081125E,Bachelor of Engineering (Electronics and Computer Systems) (Honours)/ Bachelor of Computer Science,,Yes,03 - Engineering and Related Technologies,0313 - Electrical and Electronic Engineering and Technology,"031399 - Electrical and Electronic Engineering and Technology, n.e.c.",02 - Information Technology,0201 - Computer Science,"020199 - Computer Science, n.e.c.",Bachelor Honours Degree,No,No,,,,English,260,"$152,700.00",$0.00,"$152,700.00",No
00111D,Swinburne University of Technology,081126D,Bachelor of Engineering (Electrical and Electronic) (Honours)/ Bachelor of Business,,Yes,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",08 - Management and Commerce,0803 - Business and Management,"080399 - Business and Management, n.e.c.",Bachelor Honours Degree,No,No,,,,English,260,"$152,700.00",$0.00,"$152,700.00",No
00111D,Swinburne University of Technology,081128B,Bachelor of Engineering (Mechanical) (Honours)/ Bachelor of Business,,Yes,03 - Engineering and Related Technologies,0307 - Mechanical and Industrial Engineering and Technology,030701 - Mechanical Engineering,08 - Management and Commerce,0803 - Business and Management,"080399 - Business and Management, n.e.c.",Bachelor Honours Degree,No,No,,,,English,260,"$152,700.00",$0.00,"$152,700.00",No
00111D,Swinburne University of Technology,081133E,Bachelor of Engineering (Telecommunications and Network Engineering) (Honours)/ Bachelor of Computer Science,,Yes,03 - Engineering and Related Technologies,0313 - Electrical and Electronic Engineering and Technology,031307 - Communications Technologies,02 - Information Technology,0201 - Computer Science,"020199 - Computer Science, n.e.c.",Bachelor Honours Degree,No,No,,,,English,260,"$152,700.00",$0.00,"$152,700.00",No
00111D,Swinburne University of Technology,081134D,Bachelor of Engineering (Telecommunications and Network Engineering) (Honours)/ Bachelor of Business,,Yes,03 - Engineering and Related Technologies,0313 - Electrical and Electronic Engineering and Technology,031307 - Communications Technologies,08 - Management and Commerce,0803 - Business and Management,"080399 - Business and Management, n.e.c.",Bachelor Honours Degree,No,No,,,,English,260,"$152,700.00",$0.00,"$152,700.00",No
00111D,Swinburne University of Technology,081746J,Graduate Certificate of Entrepreneurship,,No,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,,,,Graduate Certificate,No,No,,,,English,26,"$25,250.00",$0.00,"$25,250.00",No
00111D,Swinburne University of Technology,082696F,Master of Information and Communication Technologies (Research),,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",,,,Masters Degree (Research),No,Yes,40.00,104,"4,160",English,104,"$95,200.00",$0.00,"$95,200.00",No
00111D,Swinburne University of Technology,082697E,Master of Health Sciences (Research),,No,06 - Health,0609 - Optical Science,"060999 - Optical Science, n.e.c.",,,,Masters Degree (Research),No,Yes,40.00,104,"4,160",English,104,"$94,200.00",$0.00,"$94,200.00",No
00111D,Swinburne University of Technology,082967K,Bachelor of Engineering (Construction) (Honours),,No,03 - Engineering and Related Technologies,0309 - Civil Engineering,030901 - Construction Engineering,,,,Bachelor Honours Degree,No,No,,,,English,208,"$165,000.00",$0.00,"$165,000.00",No
00111D,Swinburne University of Technology,083182B,Doctor of Psychology (Clinical and Forensic Psychology),,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,,,,Doctoral Degree,No,Yes,7.50,208,"1,560",English,208,"$178,800.00",$0.00,"$178,800.00",No
00111D,Swinburne University of Technology,083189F,Master of Engineering (Advanced Manufacturing Technology)/ Master of Entrepreneurship and Innovation,,Yes,03 - Engineering and Related Technologies,0301 - Manufacturing Engineering and Technology,030101 - Manufacturing Engineering,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,Masters Degree (Coursework),No,No,,,,English,104,"$78,000.00",$0.00,"$78,000.00",No
00111D,Swinburne University of Technology,083192M,Master of Engineering (Civil)/ Master of Entrepreneurship and Innovation,,Yes,03 - Engineering and Related Technologies,0309 - Civil Engineering,030903 - Structural Engineering,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,Masters Degree (Coursework),No,No,,,,English,104,"$80,000.00",$0.00,"$80,000.00",No
00111D,Swinburne University of Technology,083195G,Master of Engineering (Electrical and Electronic)/ Master of Entrepreneurship and Innovation,,Yes,03 - Engineering and Related Technologies,0313 - Electrical and Electronic Engineering and Technology,031303 - Electronic Engineering,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,Masters Degree (Coursework),No,No,,,,English,104,"$80,000.00",$0.00,"$80,000.00",No
00111D,Swinburne University of Technology,083471D,Graduate Certificate in Information Technology,,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",,,,Graduate Certificate,No,No,,,,English,52,"$45,910.00",$0.00,"$45,910.00",No
00111D,Swinburne University of Technology,083472C,Graduate Diploma of Information Technology,,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",,,,Graduate Diploma,No,No,,,,English,78,"$68,865.00",$0.00,"$68,865.00",No
00111D,Swinburne University of Technology,083473B,Bachelor of Computer Science (Honours),,No,02 - Information Technology,0201 - Computer Science,"020199 - Computer Science, n.e.c.",,,,Bachelor Honours Degree,No,No,,,,English,52,"$44,300.00",$0.00,"$44,300.00",No
00111D,Swinburne University of Technology,083475M,Graduate Diploma of Engineering (Civil),,No,03 - Engineering and Related Technologies,0309 - Civil Engineering,"030999 - Civil Engineering, n.e.c.",,,,Graduate Diploma,No,No,,,,English,52,"$58,000.00",$0.00,"$58,000.00",No
00111D,Swinburne University of Technology,083476K,Graduate Diploma of Engineering (Electrical and Electronic),,No,03 - Engineering and Related Technologies,0301 - Manufacturing Engineering and Technology,"030199 - Manufacturing Engineering and Technology, n.e.c.",,,,Graduate Diploma,No,No,,,,English,52,"$36,000.00",$0.00,"$36,000.00",No
00111D,Swinburne University of Technology,083477J,Master of Engineering (Civil)/ Master of Construction Management,,Yes,03 - Engineering and Related Technologies,0309 - Civil Engineering,"030999 - Civil Engineering, n.e.c.",03 - Engineering and Related Technologies,0309 - Civil Engineering,030901 - Construction Engineering,Masters Degree (Coursework),No,No,,,,English,104,"$80,000.00",$0.00,"$80,000.00",No
00111D,Swinburne University of Technology,083478G,Graduate Diploma of Engineering (Advanced Manufacturing Technology),,No,03 - Engineering and Related Technologies,0301 - Manufacturing Engineering and Technology,"030199 - Manufacturing Engineering and Technology, n.e.c.",,,,Graduate Diploma,No,No,,,,English,52,"$58,000.00",$0.00,"$58,000.00",No
00111D,Swinburne University of Technology,083966C,Graduate Certificate of Information Systems Management,,No,02 - Information Technology,0203 - Information Systems,"020399 - Information Systems, n.e.c.",,,,Graduate Certificate,No,No,,,,English,52,"$20,150.00",$0.00,"$20,150.00",No
00111D,Swinburne University of Technology,083972E,Master of Information Systems Management,,No,02 - Information Technology,0203 - Information Systems,"020399 - Information Systems, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,104,"$54,000.00",$0.00,"$54,000.00",No
00111D,Swinburne University of Technology,083973D,Master of Information Systems Management/ Master of Business Administration,,Yes,02 - Information Technology,0203 - Information Systems,"020399 - Information Systems, n.e.c.",08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,Masters Degree (Coursework),No,No,,,,English,104,"$54,000.00",$0.00,"$54,000.00",No
00111D,Swinburne University of Technology,083974C,Master of Information Technology Project Management,,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,104,"$54,000.00",$0.00,"$54,000.00",No
00111D,Swinburne University of Technology,084575K,Bachelor of Engineering (Civil & Infrastructure) (Honours),,No,03 - Engineering and Related Technologies,0309 - Civil Engineering,"030999 - Civil Engineering, n.e.c.",,,,Bachelor Honours Degree,No,No,,,,English,208,"$196,800.00",$0.00,"$196,800.00",No
00111D,Swinburne University of Technology,085305B,Bachelor of Design (Industrial Design) (Honours),,No,03 - Engineering and Related Technologies,0307 - Mechanical and Industrial Engineering and Technology,030703 - Industrial Engineering,,,,Bachelor Honours Degree,No,No,,,,English,208,"$190,800.00",$0.00,"$190,800.00",No
00111D,Swinburne University of Technology,085306A,Bachelor of Design (Interior Architecture) (Honours),,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,040107 - Interior and Environmental Design,,,,Bachelor Honours Degree,No,No,,,,English,208,"$190,800.00",$0.00,"$190,800.00",No
00111D,Swinburne University of Technology,085307M,Master of Arts (Media and Communications),,No,10 - Creative Arts,1007 - Communication and Media Studies,"100799 - Communication and Media Studies, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,104,"$49,000.00",$0.00,"$49,000.00",No
00111D,Swinburne University of Technology,085378G,Bachelor of Education (Early Childhood),,No,07 - Education,0701 - Teacher Education,070101 - Teacher Education: Early Childhood,,,,Bachelor Degree,No,Yes,53.00,13,689,English,208,"$120,000.00",$0.00,"$120,000.00",No
00111D,Swinburne University of Technology,085471K,Diploma of Design (UniLink) Standard,,No,10 - Creative Arts,1005 - Graphic and Design Studies,"100599 - Graphic and Design Studies, n.e.c.",,,,Diploma,No,No,,,,English,44,"$37,400.00",$0.00,"$37,400.00",No
00111D,Swinburne University of Technology,085472J,Diploma of Design (UniLink) Extended,,No,10 - Creative Arts,1005 - Graphic and Design Studies,"100599 - Graphic and Design Studies, n.e.c.",,,,Diploma,No,No,,,,English,52,"$31,000.00",$0.00,"$31,000.00",No
00111D,Swinburne University of Technology,085473G,Diploma of Business (UniLink) Standard,,No,08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",,,,Diploma,No,No,,,,English,44,"$37,400.00",$0.00,"$37,400.00",No
00111D,Swinburne University of Technology,085474G,Diploma of Business (UniLink) Extended,,No,08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",,,,Diploma,No,No,,,,English,52,"$30,000.00",$0.00,"$30,000.00",No
00111D,Swinburne University of Technology,085475F,Diploma of Information Technology (UniLink) Standard,,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",,,,Diploma,No,No,,,,English,44,"$37,400.00",$0.00,"$37,400.00",No
00111D,Swinburne University of Technology,085476E,Diploma of Information Technology (UniLink) Extended,,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",,,,Diploma,No,No,,,,English,52,"$30,000.00",$0.00,"$30,000.00",No
00111D,Swinburne University of Technology,085477D,Diploma of Engineering (UniLink) Standard,,No,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",,,,Diploma,No,No,,,,English,44,"$39,980.00",$0.00,"$39,980.00",No
00111D,Swinburne University of Technology,085478C,Diploma of Engineering (UniLink) Extended,,No,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",,,,Diploma,No,No,,,,English,52,"$33,000.00",$0.00,"$33,000.00",No
00111D,Swinburne University of Technology,085629D,Bachelor of Laws  Standard Entry,,No,09 - Society and Culture,0909 - Law,"090900 - Law, n.f.d.",,,,Bachelor Degree,No,Yes,37.50,12,450,English,208,"$185,200.00",$0.00,"$185,200.00",No
00111D,Swinburne University of Technology,085630M,Bachelor of Laws  Graduate Entry,,No,09 - Society and Culture,0909 - Law,"090900 - Law, n.f.d.",,,,Bachelor Degree,No,Yes,37.50,12,450,English,156,"$134,910.00",$0.00,"$134,910.00",No
